"","test_set","rmse","train_time","test_time","model_type"
"1",1,0.12251,1.55999999999995,0,"ElasticNet"
"2",2,0.11903,1.98999999999978,0,"ElasticNet"
"3",3,0.12456,1.78999999999996,0,"ElasticNet"
"4",4,0.12202,2.09000000000015,0.0199999999999818,"ElasticNet"
"5",5,0.11396,1.90999999999985,0.00999999999976353,"ElasticNet"
"6",6,0.13358,1.75,0.0199999999999818,"ElasticNet"
"7",7,0.12739,2.15999999999985,0,"ElasticNet"
"8",8,0.1202,1.78999999999996,0.0199999999999818,"ElasticNet"
"9",9,0.13397,2.07999999999993,0,"ElasticNet"
"10",10,0.12498,1.84000000000015,0,"ElasticNet"
"11",1,0.11634,48.4400000000001,0.0300000000002001,"XGBoost"
"12",2,0.12267,51.4499999999998,0.0199999999999818,"XGBoost"
"13",3,0.1169,47.0599999999999,0.0199999999999818,"XGBoost"
"14",4,0.11836,45.75,0.00999999999976353,"XGBoost"
"15",5,0.10952,41.5799999999999,0.0199999999999818,"XGBoost"
"16",6,0.13278,49.6700000000001,0.0199999999999818,"XGBoost"
"17",7,0.12698,52.4699999999998,0.0299999999997453,"XGBoost"
"18",8,0.12949,49.5,0.00999999999976353,"XGBoost"
"19",9,0.13356,45.2799999999997,0.00999999999976353,"XGBoost"
"20",10,0.12792,41.4699999999998,0.0199999999999818,"XGBoost"
